FirstName,LastName,LogonName,PhoneNumber,Department
Neena,Kochhar,NKOCHHAR,515.123.4568,Executive
Sundita,Kumar,SKUMAR,011.44.1343.329268,Sales
Renske,Ladwig,RLADWIG,650.121.1234,Shipping
James,Landry,JLANDRY,650.124.1334,Shipping
David,Lee,DLEE,011.44.1346.529268,Sales
Jack,Livingston,JLIVINGS,011.44.1644.429264,Sales
Diana,Lorentz,DLORENTZ,590.423.5567,IT
Jason,Mallin,JMALLIN,650.127.1934,Shipping
Steven,Markle,SMARKLE,650.124.1434,Shipping
James,Marlow,JAMRLOW,650.124.7234,Shipping
Mattea,Marvins,MMARVINS,011.44.1346.329268,Sales
Randall,Matos,RMATOS,650.121.2874,Shipping
Susan,Mavris,SMAVRIS,515.123.7777,Human Resources
Samuel,McCain,SMCCAIN,650.501.3876,Shipping
Allan,McEwen,AMCEWEN,011.44.1345.829268,Sales
Irene,Mikkilineni,IMIKKILI,650.124.1224,Shipping
Kevin,Mourgos,KMOURGOS,650.123.5234,Shipping
Julia,Nayer,JNAYER,650.124.1214,Shipping
Donald,OConnell,DOCONNEL,650.507.9833,Shipping
Christopher,Olsen,COLSEN,011.44.1344.498718,Sales
TJ,Olson,TJOLSON,650.124.8234,Shipping
Lisa,Ozer,LOZER,011.44.1343.929268,Sales
Karen,Partners,KPARTNER,011.44.1344.467268,Sales
Valli,Pataballa,VPATABAL,590.423.4560,IT
Joshua,Patel,JPATEL,650.121.1834,Shipping
Randall,Perkins,RPERKINS,650.505.4876,Shipping
Hazel,Philtanker,HPHILTAN,650.127.1634,Shipping
Luis,Popp,LPOPP,515.124.4567,Finance
Trenna,Rajs,TRAJS,650.121.8009,Shipping
Den,Raphaely,DRAPHEAL,515.127.4561,Purchasing
Michael,Rogers,MROGERS,650.127.1834,Shipping
John,Russell,JRUSSEL,011.44.1344.429268,Sales
Nandita,Sarchand,NSARCHAN,650.509.1876,Shipping
Ismael,Sciarra,ISCIARRA,515.124.4369,Finance
John,Seo,JSEO,650.121.2019,Shipping
Sarath,Sewall,SSEWALL,011.44.1345.529268,Sales
Lindsey,Smith,LSMITH,011.44.1345.729268,Sales
William,Smith,WSMITH,011.44.1343.629268,Sales
Stephen,Stiles,SSTILES,650.121.2034,Shipping
Martha,Sullivan,MSULLIVA,650.507.9878,Shipping
Patrick,Sully,PSULLY,011.44.1345.929268,Sales
Jonathon,Taylor,JTAYLOR,011.44.1644.429265,Sales
Winston,Taylor,WTAYLOR,650.507.9876,Shipping
Sigal,Tobias,STOBIAS,515.127.4564,Purchasing
Peter,Tucker,PTUCKER,011.44.1344.129268,Sales
Oliver,Tuvault,OTUVAULT,011.44.1344.486508,Sales
Jose Manuel,Urman,JMURMAN,515.124.4469,Finance
Peter,Vargas,PVARGAS,650.121.2004,Shipping
Clara,Vishney,CVISHNEY,011.44.1346.129268,Sales
Shanta,Vollman,SVOLLMAN,650.123.4234,Shipping
Alana,Walsh,AWALSH,650.507.9811,Shipping
Matthew,Weiss,MWEISS,650.123.1234,Shipping
Jennifer,Whalen,JWHALEN,515.123.4444,Administration
Sam,Wu,SWU,780.378.5286,Shipping
Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,Sales
